"Wyoming","$913","$366","$0","$287","$134","$638","$2316","$4654"

"Notes"
"Data are state reported, reflect spending during State Fiscal Year (SFY) 2021, and may not sum to totals due to rounding."
""
"The data above reflect the distribution of state general fund and other state funds by different expenditure categories. While general funds are a significant source of state revenues to fund expenditures, other sources of state revenues are also used, reported in this data source as ""other state funds."" The distribution of state funding across expenditure categories from these sources of state funds (general fund and other state funds) can vary depending on how states have chosen to finance different expenditures (e.g. some states may rely more on other state funds such as lottery funds to finance state spending on K-12 education or provider taxes, fees and donations to fund Medicaid expenditures.) States also differ in which functions are state or local responsibilities; this can also lead to variation across states in the distribution of state funds across expenditure categories. For additional information and state-specific notes, please see data source."

"Sources"
"KFF adjustments to data collected in the National Association of State Budget Officers (NASBO) [State Expenditure Report Fiscal 2020-2022](https://www.nasbo.org/reports-data/state-expenditure-report), December 2022."

"Definitions"
"*Elementary & Secondary Education*: Excludes local funds raised for education purposes. States also were asked to include, where applicable, state expenditures that support the state's Department of Education, early education/pre-K, capital construction, transportation of school children, adult literacy programs, handicapped education programs, programs for other special populations (i.e., gifted and talented programs), anti-drug programs, and vocational education. States were asked to exclude spending for day care programs in the school system, spending for school health and immunization programs, and local funds raised and expended for education purposes."
""
"*Higher Education*: States were requested to include expenditures made for capital construction, community colleges, vocational education, law, medical, veterinary, nursing and technical schools, and assistance to private colleges and universities, as well as tuition, fees and student loan programs. Higher education expenditures exclude federal research grants and endowments to universities."
""
"*Public Assistance*: Includes expenditures for the Temporary Assistance for Needy Families (TANF) and other cash assistance (i.e., state supplements to the Supplemental Security Income program, general or emergency assistance). States were asked to exclude administrative costs from reported expenditures."
""
"*Medicaid*: Excludes administrative costs, but includes spending from state funds, federal matching funds and other funds and revenue sources used as a Medicaid match such as provider taxes, fees, assessments, donations, and local funds. Medicare Part D clawback payments are included in a state’s overall Medicaid expenditures. "
""
"*Corrections*: States were asked to include, where applicable, expenditures for capital construction, aid to local governments for jails, parole programs, prison industries, and community corrections, as well as expenditures made for juvenile correction programs."
""
"*Transportation*: Includes capital and operating expenditures for highways, mass transit, and airports. States were also asked to include expenditures for road assistance to local governments, the administration of the Department of Transportation, truck and train/railroad programs, motor vehicle licensing, and gas tax and fee collection. The data exclude spending for port authorities, state police and highway patrol."
""
"*All Other*: Includes all remaining programs not captured in the functional categories previously described, including the State Children's Health Insurance Program and any debt service for other state programs (i.e., environmental projects, housing). States with lotteries were asked to exclude prizes paid to lottery winners. States were also asked to exclude expenditures for state-owned utilities and liquor stores. States were also asked to separately detail debt service spending."
""
"Capital spending is included with operating expenditures within each functional category, unless otherwise noted."
""
"*State Fiscal Year*: In 46 states the state fiscal year begins on July 1 and ends on June 30. The exceptions are as follows: in New York, the fiscal year begins on April 1; in Texas, the fiscal year begins on September 1; and in Alabama and Michigan the fiscal year begins on October 1. The length of budget cycles vary among states, with more than half of the states budgeting annually and the remainder enacting biennial budgets. "
""
"*N/A*: Data not available."


Footnotes
"1. US totals exclude the District of Columbia."
